Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201910,09,645000,013,    ,00000 ,78250 ,29179 ,278,25540, , ,06066      ,1,1,0,Vernon town,10,10,1354790,4,8,713600,0,0,0,11,76,5815424,0,0,0,0,0,0,0,0,0,0,0,0
201910,09,649000,011,    ,00000 ,78600 ,2603 ,278,35980, , ,06384      ,1,1,10,Voluntown town,1,1,167940,0,0,0,0,0,0,0,0,0,1,1,167940,0,0,0,0,0,0,0,0,0
201910,09,653000,009,    ,00000 ,78740 ,45135 ,408,35300, , ,06492      ,1,1,0,Wallingford town,18,18,3260736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201910,09,665000,009,1090,80000 ,80070 ,110366 ,408,35300,2, ,06702      ,1,1,9,Waterbury,13,13,968933,0,0,0,0,0,0,0,0,0,12,12,890000,0,0,0,0,0,0,0,0,0
201910,09,677000,003,    ,00000 ,82590 ,63268 ,278,25540, , ,06107      ,1,1,0,West Hartford town,11,11,2977061,0,0,0,0,0,0,12,63,3067231,0,0,0,0,0,0,0,0,0,0,0,0
201910,09,685000,007,    ,00000 ,81680 ,6938 ,278,25540, , ,06498      ,1,1,10,Westbrook town,14,14,5006420,0,0,0,0,0,0,0,0,0,14,14,5006420,0,0,0,0,0,0,0,0,0
201910,09,689000,001,    ,00000 ,83430 ,10179 ,408,14860, , ,06883      ,1,1,0,Weston town,7,7,10637438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201910,09,693000,001,    ,00000 ,83500 ,26391 ,408,14860, , ,06880      ,1,1,10,Westport town,44,44,41025000,0,0,0,1,4,1500000,0,0,0,44,44,41025000,0,0,0,1,4,1500000,0,0,0
201910,09,697000,003,    ,00000 ,84900 ,26668 ,278,25540, , ,06109      ,1,1,9,Wethersfield town,2,2,943840,0,0,0,0,0,0,0,0,0,2,2,943840,0,0,0,0,0,0,0,0,0
201910,09,701000,013,    ,00000 ,85950 ,6041 ,278,25540, , ,06279      ,1,1,10,Willington town,2,2,480000,0,0,0,0,0,0,0,0,0,2,2,480000,0,0,0,0,0,0,0,0,0
201910,09,705000,001,    ,00000 ,86370 ,18062 ,408,14860, , ,06897      ,1,1,8,Wilton town,4,4,2191240,0,0,0,0,0,0,0,0,0,2,2,871540,0,0,0,0,0,0,0,0,0
201910,09,713000,015,    ,00000 ,86790 ,25268 ,148,49340, , ,062260001  ,1,1,10,Windham town,3,3,496200,0,0,0,0,0,0,0,0,0,3,3,496200,0,0,0,0,0,0,0,0,0
201910,09,717000,003,    ,00000 ,87070 ,12498 ,278,25540, , ,06096      ,1,1,10,Windsor Locks town,2,2,327845,0,0,0,0,0,0,0,0,0,2,2,327845,0,0,0,0,0,0,0,0,0
201910,09,721000,003,    ,00000 ,87000 ,29044 ,278,25540, , ,06095      ,1,1,10,Windsor town,18,18,3216550,0,0,0,0,0,0,0,0,0,18,18,3216550,0,0,0,0,0,0,0,0,0
201910,09,725000,009,    ,00000 ,87560 ,16680 ,408,35300, , ,06716      ,1,1,8,Wolcott town,20,20,2719544,0,0,0,1,4,275000,1,5,300000,16,16,2092000,0,0,0,1,4,275000,1,5,300000
