Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Source,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201706,09,733000,005,    ,00000 ,87910 ,9975 ,999,99999, , ,06798      ,1,1,3,Woodbury town,0,0,0,0,0,0,0,0,0,0,0,0
201706,23,002000,031,    ,00000 ,00275 ,2447 ,438,38860, , ,04001      ,1,1,5,Acton town,2,2,382139,0,0,0,0,0,0,0,0,0
201706,23,003000,029,    ,00000 ,00380 ,1266 ,999,99999, , ,04606      ,1,1,5,Addison town,1,1,69600,0,0,0,0,0,0,0,0,0
201706,23,005000,029,    ,00000 ,00660 ,499 ,999,99999, , ,04694      ,1,1,5,Alexander town,0,0,0,0,0,0,0,0,0,0,0,0
201706,23,011000,003,    ,00000 ,01220 ,238 ,999,99999,2, ,04471      ,1,1,5,Amity town,0,0,0,0,0,0,0,0,0,0,0,0
201706,23,015000,013,    ,00000 ,01465 ,1316 ,999,99999, , ,04862      ,1,1,3,Appleton town,0,0,0,0,0,0,0,0,0,0,0,0
201706,23,018000,031,    ,00000 ,01605 ,4022 ,438,38860, , ,04046      ,1,1,5,Arundel town,2,2,301409,0,0,0,0,0,0,0,0,0
201706,23,022000,001,0150,02060 ,02060 ,23055 ,438,30340, ,1,04210      ,1,1,3,Auburn,3,3,650000,0,0,0,0,0,0,0,0,0
201706,23,023000,011,0200,02100 ,02100 ,19136 ,999,99999, , ,04330      ,1,1,1,Augusta,3,3,374000,0,0,0,0,0,0,0,0,0
201706,23,027000,005,    ,00000 ,02655 ,1525 ,438,38860, , ,04091      ,1,1,1,Baldwin town,1,1,37000,0,0,0,0,0,0,0,0,0
201706,23,029000,019,0250,02795 ,02795 ,33039 ,999,12620, ,1,04401      ,1,1,5,Bangor,1,1,241400,0,0,0,0,0,0,0,0,0
201706,23,030000,009,    ,00000 ,02865 ,5235 ,999,99999, , ,04609      ,1,1,5,Bar Harbor town,2,2,525142,0,0,0,0,0,0,0,0,0
201706,23,040000,031,    ,00000 ,04720 ,7246 ,438,38860, , ,03901      ,1,1,3,Berwick town,4,4,1150000,0,0,0,0,0,0,0,0,0
201706,23,042000,031,0500,04860 ,04860 ,21277 ,438,38860, , ,040050586  ,1,1,5,Biddeford,2,2,357888,0,0,0,0,0,0,0,0,0
201706,23,048000,023,    ,00000 ,06260 ,3061 ,438,38860, , ,042870035  ,1,1,5,Bowdoin town,2,2,265625,0,0,0,0,0,0,0,0,0
201706,23,056000,005,    ,00000 ,07170 ,5210 ,438,38860, , ,040091262  ,1,1,5,Bridgton town,2,2,501572,0,0,0,0,0,0,0,0,0
201706,23,058000,015,    ,00000 ,07485 ,2755 ,999,99999, , ,04539      ,1,1,3,Bristol town,0,0,0,0,0,0,0,0,0,0,0,0
201706,23,064000,005,    ,00000 ,08430 ,20278 ,438,38860, , ,04011      ,1,1,5,Brunswick town,4,4,1115564,0,0,0,0,0,0,1,5,458333
201706,23,073000,013,    ,00000 ,09725 ,4850 ,999,99999, , ,04843      ,1,1,5,Camden town,1,1,250000,0,0,0,0,0,0,0,0,0
201706,23,078000,003,1100,10565 ,10565 ,8189 ,999,99999, , ,04736      ,1,1,3,Caribou,0,0,0,0,0,0,0,0,0,0,0,0
201706,23,084000,005,    ,00000 ,11125 ,3742 ,438,38860, , ,040150060  ,1,1,1,Casco town,3,3,359000,0,0,0,0,0,0,0,0,0
201706,23,085000,009,    ,00000 ,11265 ,1366 ,999,99999, , ,044210204  ,1,1,1,Castine town,0,0,0,0,0,0,0,0,0,0,0,0
201706,23,086000,003,    ,00000 ,11300 ,425 ,999,99999, , ,04757      ,1,1,1,Castle Hill town,1,1,5200,0,0,0,0,0,0,0,0,0
201706,23,089000,003,    ,00000 ,12000 ,468 ,999,99999, , ,047570500  ,1,1,5,Chapman town,0,0,0,0,0,0,0,0,0,0,0,0
201706,23,109000,029,    ,00000 ,14940 ,105 ,999,99999, , ,04694      ,1,1,1,Crawford town,0,0,0,0,0,0,0,0,0,0,0,0
201706,23,112000,005,    ,00000 ,15430 ,7211 ,438,38860, , ,04021      ,1,1,5,Cumberland town,7,7,1927123,0,0,0,0,0,0,1,6,307500
